Article Number,Lat,Long,Herbivore_d,Enemy_d,Yield_d
2,42.877708,-77.007188,-2.11,,
4,-39.493456,176.906689,,-0.16,
5,33.693516,-101.825157,0,,
7,63.809403,20.230968,-1.65,,
8,51.97065,5.660447,-0.23,,
11,27.755557,118.035614,-0.25,0.38,
16,52.285181,5.666437,-1.57,,
21,38.22952,115.725075,,,-1.09
22,-13.331354,-72.084508,-22.54,-0.07,-0.42
26,32.441974,-85.897467,-0.72,,
27,21.557231,-158.088741,0.02,-0.5,
28,21.557231,-158.088741,-2.88,0,
37,44.715765,-93.097157,,0.495,
52,29.321371,30.852847,-1.28,,
55,26.184572,-97.991022,2.37,0.3,
57,29.666872,-82.5,-0.4,-0.21,
58,15.06111111,-90.25,-0.46,,
59,29.773048,-82.417782,-0.47,,
,,,,,
